"Which operation in &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; introduced the &quot;Skyscraper&quot; map?","Red Crow","Velvet Shell","Skull Rain","Dust Line",385
"Without enchantments, which pickaxe in minecraft mines blocks the quickest.","Golden ","Diamond","Iron","Obsidian",386
"When was Club Penguin launched?","38649","38646","38805","38313",387
"Which of these is not a DLC vehicle in &quot;Mario Kart 8&quot;?","Wild Wiggler","Bone Rattler","B Dasher","300 SL Roadster",388
"Which ones of these Mario Kart games was made for the Gameboy Advance?","Mario Kart: Super Circuit","Mario Kart: Double Dash","Mario Kart 64","Super Mario Kart",389
"Which &quot;Perk-A-Cola&quot; in &quot;Call Of Duty: Zombies&quot; was &quot;reworked&quot; in &quot;Call of Duty: Black Ops II&quot;?","Double Tap Root Beer","Who&#039;s Who","Juggernog","Mule Kick",390
"Which one of these games came out first?","Terraria","Minecraft","Starbound","Factorio",391
"What animal is featured in &quot;Bloons TD Battles&quot;?","Monkeys","Alligators","Pigeons","Lizards",392
"What is the name of the 8th installment in the Fire Emblem series?","The Sacred Stones","Blazing Sword","Awakening","Path of Radiance",393
"What former MOBA, created by Waystone Games and published by EA, was shut down in 2014?","Dawngate","Strife","League of Legends","Heroes of Newerth",394
"In &quot;Resident Evil 2&quot;, what is Leon Kennedy&#039;s middle name?","Scott","Shaun","Simon","Sam",395
"What are the names of the Ice Climbers in the video game Ice Climber?","Popo and Nana","Popo and Nina","Papi and Nana","Papi and Nina",396
"Which of these characters is NOT a boss in Crash Bash?","Ripper Roo","Papu Papu","Komodo brothers","Nitros Oxide",397
"Which weapon that was cut from the game &quot;Half Life 2&quot; was going to replace the crowbar?","Ice Axe","Fire Axe","Wrench","Hunting Knife",398
"What is the AK-47&#039;s name in Counter Strike: Source?","CV-47","AK-74","AK","CZ-75",399
"Who is Sora&#039;s Nobody in Kingdom Hearts?","Roxas","Riku","Kairi","Mickey",400
"Which unlockable character in Super Smash Bros. For Wii U and 3DS does not have to be fought to be unlocked?","Mii Fighters","Ness","R.O.B.","Mewtwo",401
"In the Mario Kart and Smash Bros. Games, Princess Rosalina is considered what weight class?","Heavy","Medium","Light","Light-Medium",402
